X,INCIDENT HEAT FLUX (GAS),INCIDENT HEAT FLUX (WALL),Z,INCIDENT HEAT FLUX (GAS SIDE),INCIDENT HEAT FLUX (WALL SIDE),EMISSIVITY (TOP),HEMISPHERICAL ABSORPTIVITY (TOP),EMISSIVITY (SIDE),HEMISPHERICAL ABSORPTIVITY (SIDE)
0.09,24.033,24.033,0.125,24.629,24.629,0.424,0.424,0.434,0.434
0.27,28.322,28.322,0.375,28.972,28.972,0.500,0.500,0.511,0.511
0.46,29.986,29.986,0.625,30.445,30.445,0.529,0.529,0.537,0.537
0.64,30.846,30.846,0.875,31.147,31.147,0.544,0.544,0.549,0.549
0.82,31.226,31.226,1.125,31.470,31.470,0.551,0.551,0.555,0.555
1,31.351,31.351,1.375,31.666,31.666,0.553,0.553,0.558,0.558
1.18,31.226,31.226,1.625,31.756,31.756,0.551,0.551,0.560,0.560
1.36,30.846,30.846,1.875,31.795,31.795,0.544,0.544,0.561,0.561
1.55,29.986,29.986,2.125,31.795,31.795,0.529,0.529,0.561,0.561
1.73,28.322,28.322,2.375,31.756,31.756,0.500,0.500,0.560,0.560
1.91,24.033,24.033,2.625,31.666,31.666,0.424,0.424,0.558,0.558
,,,2.875,31.470,31.470,,,0.555,0.555
,,,3.125,31.147,31.147,,,0.549,0.549
,,,3.375,30.445,30.445,,,0.537,0.537
,,,3.625,28.972,28.972,,,0.511,0.511
,,,3.875,24.629,24.629,,,0.434,0.434
