Time,Temp
0,20
200,21.57221224
400,22.59203466
600,23.23650427
800,23.62471303
1000,23.87114903
1200,24.02064193
1400,24.11132257
1600,24.17075928
1800,24.2046054
2000,24.22403534
2200,24.2398757
2400,24.24990826
2600,24.25440789
2800,24.25705806
3000,24.26131471
3200,24.26477996
3400,24.2667553
3600,24.26758383
3800,24.26863328
4000,24.27072416
4200,24.27263359
4400,24.27419239
4600,24.27548177
4800,24.27682436
5000,24.27841321
5200,24.27996064
5400,24.28142793
5600,24.28283418
5800,24.28425422
6000,24.28573218
6200,24.28720195
6400,24.28865573
6600,24.29009781
6800,24.29154411
7000,24.29300342
7200,24.29446225
7400,24.29592
7600,24.29737747
7800,24.29883674
8000,24.3002984
8200,24.30176125
8400,24.30322622
8600,24.30469331
8800,24.30616153
9000,24.30762972
9200,24.30909931
9400,24.31057151
9600,24.31204615
9800,24.31352172
10000,24.31499742
